country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Micronesia, Fed. Sts.",80,80,80,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,80
Gabon,,35,27,27,31,29,35,42,50,33,40,45,49,50,53,53,50,46,49,46,41,42
UK,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,110
Georgia,41,40,49,64,52,65,72,74,81,110,96,97,87,78,80,84,86,80,77,78,64,62
Ghana,26,28,27,27,26,27,27,27,30,32,31,33,32,33,31,31,31,31,30,32,28,30
Guinea,29,31,33,36,39,36,46,49,53,44,58,59,59,58,59,59,60,64,65,72,67,79
Gambia,58,61,64,65,70,64,56,58,64,63,57,65,64,62,67,65,64,63,60,66,61,57
Guinea-Bissau,34,,37,37,39,36,42,,39,39,39,35,32,34,36,33,34,33,29,34,35,33
Equatorial Guinea,,,,,35,,,,35,35,34,34,,,35,35,35,35,35,34,34,42
Greece,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,46
Grenada,,,83,83,83,,82,82,82,81,81,81,81,,,80,80,80,80,79,27,50
Greenland,,,,,,,,,,87,87,87,87,87,87,87,87,87,87,87,87,87
Guatemala,79,79,79,80,80,80,80,80,80,80,80,81,81,81,81,81,81,82,82,82,63,65
Guam,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Guyana,79,78,78,78,78,79,79,79,79,80,80,81,81,81,81,81,81,81,79,78,59,62
"Hong Kong, China",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Honduras,79,79,79,79,79,79,79,79,79,79,79,79,79,79,78,78,78,78,78,78,60,62
Croatia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,95
Haiti,46,44,50,57,59,58,57,58,61,64,63,69,77,80,76,79,76,76,69,69,61,57
Hungary,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88
Indonesia,11,12,19,21,26,31,34,33,36,35,36,38,39,39,38,39,43,52,68,67,47,45
India,31,30,29,29,30,30,32,34,36,37,37,37,37,36,47,49,53,52,62,73,57,67
Ireland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Iran,80,80,80,80,80,80,79,79,79,78,78,78,78,78,78,77,76,76,76,77,56,60
Iraq,78,83,92,88,78,69,58,58,67,67,69,62,60,59,58,59,54,59,57,57,45,55
Iceland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,
Israel,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Italy,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,87,87,87,87,87,87,82
Jamaica,81,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,84,84,70,61
Jordan,81,81,81,81,81,81,79,77,79,81,84,86,90,89,82,78,77,77,76,76,49,47
