country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,68,74,72,75,75,72,76,76,79,79,80,84,82,79,83,80,85,88,90,89,91
Gambia,,71,74,75,86,87,58,84,84,89,88,88,85,86,88,82,80,81,88,84,87
Guinea-Bissau,,56,56,76,73,69,,67,66,66,67,69,71,77,81,79,76,64,71,73,75
Equatorial Guinea,,,,51,,,,58,54,65,68,,,62,58,43,89,75,65,76,74
Greece,,,,,,,,,,,,,,,,,,,0,,
Grenada,,,100,50,,67,,100,33,60,75,100,100,100,,80,100,67,50,33,100
Greenland,,,,,,,,,,,,,,,68,71,81,77,,,
Guatemala,86,85,84,91,85,,47,84,82,83,82,85,88,84,85,87,87,87,88,85,89
Guam,93,71,68,96,90,90,91,96,96,96,90,88,84,92,89,87,83,89,80,90,75
Guyana,55,73,66,55,41,55,58,65,62,64,64,65,65,67,69,68,69,71,72,71,67
"Hong Kong, China",61,63,64,65,63,63,63,62,69,69,67,67,67,67,,65,65,65,64,73,74
Honduras,86,86,87,87,85,88,86,90,85,86,85,88,89,89,89,86,88,87,88,89,87
Croatia,,,70,38,33,40,31,61,58,63,76,,9,44,71,10,58,66,29,24,51
Haiti,71,73,75,75,73,77,77,77,,77,79,82,81,81,78,80,82,78,82,84,82
Hungary,64,46,55,48,66,63,62,60,62,67,74,76,70,74,73,71,71,67,66,65,66
Indonesia,87,86,86,87,87,89,90,90,90,89,89,88,86,88,84,85,86,85,83,83,86
India,34,54,60,76,81,87,87,88,88,89,89,89,88,88,74,72,69,81,82,84,85
Ireland,84,56,77,70,73,71,61,73,74,65,74,61,61,59,56,57,36,35,39,4,6
Iran,85,85,85,84,83,77,83,82,83,82,83,84,87,87,87,87,86,86,86,85,84
Iraq,92,89,91,85,85,88,86,88,89,90,90,90,91,88,92,91,93,92,93,94,94
Iceland,100,67,100,100,91,100,85,92,100,71,91,89,90,91,89,100,83,92,100,100,
Israel,86,86,87,84,87,86,84,82,88,88,84,78,81,84,89,83,79,87,78,84,81
Italy,74,40,79,95,,,,,,,,,,,,,,,,,
Jamaica,45,,49,53,43,53,45,63,59,66,36,44,65,77,18,23,23,27,22,66,62
Jordan,90,86,89,87,89,83,80,84,84,85,90,90,90,88,88,85,89,56,67,82,86
Japan,45,58,63,65,49,51,54,48,51,56,56,55,54,54,53,53,70,68,66,66,65
Kazakhstan,79,78,78,75,84,84,83,83,80,78,76,76,86,89,90,91,88,91,90,90,88
Kenya,80,80,79,80,77,81,83,83,84,84,86,87,86,86,87,87,81,83,84,86,85
Kyrgyz Republic,82,81,82,84,90,91,89,89,90,89,,84,,85,84,82,82,82,81,81,82
Cambodia,91,92,92,93,91,91,92,93,94,94,89,94,94,93,93,94,94,94,94,96,96
Kiribati,91,86,94,88,89,91,86,87,89,93,90,91,89,86,87,91,90,89,92,92,83
St. Kitts and Nevis,,,0,,0,,100,25,80,80,100,100,100,,,,,0,,100,
South Korea,83,79,83,82,81,83,82,83,84,83,89,81,81,82,81,84,84,83,82,82,81
Kuwait,69,73,55,62,69,80,85,84,83,86,89,87,,82,97,87,87,89,83,74,82
